epoch,train_loss,val_loss,train_acc,val_acc
1,1.908310384166484,1.5665730834007263,0.2181122448979592,0.2631578947368421
2,1.82707138207494,1.510888695716858,0.24362244897959184,0.3333333333333333
3,1.7335097157225317,1.3714438080787659,0.26211734693877553,0.43859649122807015
4,1.6096998331498127,1.206117868423462,0.32589285714285715,0.5614035087719298
5,1.4154597399186115,1.033927083015442,0.399234693877551,0.5964912280701754
6,1.2721511879745795,0.8666671216487885,0.4719387755102041,0.7017543859649122
7,1.1172365071822186,0.7446204125881195,0.53125,0.7894736842105263
8,0.993180902636781,0.6465575993061066,0.6307397959183674,0.8596491228070176
9,0.8691931172293059,0.588755339384079,0.6517857142857143,0.8245614035087719
10,0.8118814923325364,0.5356178879737854,0.7538265306122449,0.8771929824561403
11,0.7707502987920022,0.5017783939838409,0.7276785714285714,0.8947368421052632
12,0.6865027145463594,0.48061424493789673,0.7786989795918368,0.8947368421052632
13,0.6421091307182701,0.48238179087638855,0.7767857142857143,0.8947368421052632
14,0.6715000873925735,0.4631538391113281,0.7544642857142857,0.8947368421052632
15,0.633784755152099,0.4559694230556488,0.7774234693877551,0.8947368421052632
16,0.6005979435784476,0.42893165349960327,0.7595663265306123,0.9473684210526315
17,0.5369900166988373,0.4338914155960083,0.8373724489795918,0.9122807017543859
18,0.5532144776412419,0.44960421323776245,0.8150510204081632,0.9122807017543859
19,0.5176382204707788,0.4578874111175537,0.8903061224489796,0.9298245614035088
20,0.4983249939217859,0.4459763765335083,0.8252551020408163,0.9122807017543859
21,0.4928372259042701,0.4701141268014908,0.8756377551020408,0.8771929824561403
22,0.4527743434419437,0.4704182744026184,0.9081632653061225,0.8947368421052632
23,0.4444779449579667,0.47501297295093536,0.8616071428571429,0.8947368421052632
24,0.47770626265175486,0.4411688446998596,0.8654336734693877,0.9473684210526315
25,0.4863370358943939,0.4586408883333206,0.8239795918367347,0.9122807017543859
26,0.46105397781547236,0.46063607931137085,0.8239795918367347,0.8947368421052632
27,0.4205206906308933,0.47316960990428925,0.8954081632653061,0.8947368421052632
28,0.4478156080051344,0.4624670743942261,0.8125,0.9298245614035088
29,0.445120065796132,0.4785272628068924,0.8622448979591837,0.8947368421052632
30,0.4519258123271319,0.48157185316085815,0.8801020408163265,0.8947368421052632
31,0.3930163863970309,0.49931520223617554,0.8871173469387755,0.9122807017543859
32,0.4290062931119179,0.4749515950679779,0.8220663265306123,0.8947368421052632
33,0.39071688846665986,0.480279803276062,0.9336734693877551,0.9298245614035088
34,0.4203883427746442,0.4903041571378708,0.795280612244898,0.9122807017543859
35,0.36100773361264443,0.4680188298225403,0.9598214285714286,0.9473684210526315
36,0.3559547261315949,0.48359163105487823,0.8998724489795918,0.8771929824561403
37,0.3886086721809543,0.4810310900211334,0.829719387755102,0.8947368421052632
38,0.3887549279903879,0.4715699255466461,0.8520408163265306,0.8947368421052632
39,0.35679805886988736,0.4815782308578491,0.9413265306122449,0.9122807017543859
40,0.38546337947553516,0.4906349629163742,0.889030612244898,0.8947368421052632
41,0.3762342899429555,0.47825443744659424,0.9100765306122449,0.9122807017543859
42,0.39820348486608387,0.48512187600135803,0.8565051020408163,0.8771929824561403
43,0.38133837677994553,0.476458340883255,0.8711734693877551,0.9122807017543859
44,0.4308215592588697,0.47334492206573486,0.9336734693877551,0.8947368421052632
45,0.35456768955503193,0.47250184416770935,0.9190051020408163,0.9122807017543859
46,0.3585695648679928,0.49231307208538055,0.8883928571428571,0.9122807017543859
