epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.0210649728775025,0.9014643430709839,0.2894736842105263,0.40350877192982454,0.0005
2,0.8434126615524292,0.7818198204040527,0.4548872180451128,0.6491228070175439,0.0005
3,0.7110038518905639,0.6848163604736328,0.5977443609022557,0.6491228070175439,0.0005
4,0.617440378665924,0.5937574505805969,0.6541353383458647,0.7192982456140351,0.0005
5,0.5152370810508728,0.5028064846992493,0.7518796992481203,0.7543859649122807,0.0005
6,0.45255836844444275,0.43217208981513977,0.7556390977443609,0.8245614035087719,0.0005
7,0.41083699464797974,0.3746044933795929,0.793233082706767,0.7894736842105263,0.0005
8,0.32203939855098723,0.333702951669693,0.8345864661654135,0.7719298245614035,0.0005
9,0.32533150911331177,0.30576276779174805,0.868421052631579,0.8245614035087719,0.0005
10,0.25369937568902967,0.30224406719207764,0.8759398496240601,0.8245614035087719,0.0005
11,0.2643453538417816,0.26322615146636963,0.8270676691729323,0.8070175438596491,0.0005
12,0.23155041933059692,0.2473573237657547,0.8834586466165414,0.8421052631578947,0.0005
13,0.24869841635227202,0.24980705976486206,0.8759398496240601,0.8947368421052632,0.0005
14,0.1892874449491501,0.2211121916770935,0.9172932330827067,0.8947368421052632,0.0005
15,0.18492482155561446,0.2147078812122345,0.9398496240601504,0.8947368421052632,0.0005
16,0.1793326884508133,0.2057778239250183,0.924812030075188,0.8947368421052632,0.0005
17,0.19452286064624785,0.21901525557041168,0.9022556390977443,0.8771929824561403,0.0005
18,0.16219102889299392,0.19535298645496368,0.9285714285714286,0.8771929824561403,0.0005
19,0.14835037887096406,0.1904585361480713,0.9511278195488722,0.9122807017543859,0.0005
20,0.17730023264884948,0.20015965402126312,0.9511278195488722,0.9122807017543859,0.00025
21,0.14822956025600434,0.1978033185005188,0.9511278195488722,0.8947368421052632,0.00025
22,0.14525132924318312,0.18975074589252472,0.9511278195488722,0.9122807017543859,0.00025
23,0.13020118325948715,0.1845981478691101,0.9548872180451128,0.9122807017543859,0.00025
24,0.13680315762758255,0.18755048513412476,0.9661654135338346,0.9122807017543859,0.00025
25,0.13915961384773254,0.19341586530208588,0.9624060150375939,0.9122807017543859,0.00025
